school_state,resource_type,poverty_level,date_posted,total_donations,num_projects,grade_level
AZ,Books,high,2010-11-12,221.01,1,Grades PreK-2
ME,Technology,high,2010-09-21,30.0,3,Grades 9-12
CO,Other,high,2010-11-09,278.62,1,Grades 6-8
IL,Technology,high,2010-09-01,529.05,1,Grades 6-8
WA,Books,high,2010-10-30,874.66,1,Grades PreK-2
MO,Other,high,2010-06-21,412.03,1,Grades PreK-2
MI,Supplies,high,2010-08-09,398.24,1,Grades 3-5
CA,Supplies,high,2010-08-09,398.24,1,Grades 3-5
IL,Technology,high,2010-10-12,439.85,1,Grades 3-5
CA,Supplies,high,2010-06-21,170.75,1,Grades 3-5
FL,Books,high,2010-11-02,518.49,1,Grades PreK-2
CA,Books,high,2010-10-09,656.31,1,Grades 9-12
CA,Technology,high,2010-11-07,532.93,1,Grades 9-12
CA,Technology,high,2010-11-07,373.95,1,Grades PreK-2
FL,Other,high,2010-10-21,290.35,1,Grades 3-5
PA,Technology,high,2010-08-20,412.33,1,Grades 9-12
CA,Books,low,2010-11-07,356.85,1,Grades 6-8
DC,Books,low,2010-11-07,356.85,1,Grades 6-8
TX,Books,low,2010-11-07,356.85,16,Grades 6-8
CA,Books,high,2010-09-15,718.96,1,Grades PreK-2
CT,Supplies,high,2010-07-14,636.06,1,Grades 9-12
CA,Supplies,high,2010-07-14,636.06,1,Grades 9-12
KS,Technology,high,2010-09-08,468.04,3,Grades 3-5
VA,Technology,high,2010-10-06,100.0,2,Grades PreK-2
CA,Supplies,high,2010-10-21,1037.34,1,Grades 6-8
DE,Supplies,low,2010-10-21,221.55,1,Grades PreK-2
CA,Supplies,low,2010-10-21,221.55,1,Grades PreK-2
CA,Supplies,low,2010-10-21,221.55,1,Grades PreK-2
NY,Books,high,2010-09-14,290.2,1,Grades PreK-2
AZ,Other,high,2010-10-03,1053.92,1,Grades 3-5
CA,Other,high,2010-10-03,1053.92,2,Grades 3-5
OH,Other,high,2010-10-03,1053.92,1,Grades 3-5
CA,Other,high,2010-10-03,1053.92,2,Grades 3-5
CA,Other,high,2010-10-03,1053.92,1,Grades 3-5
CA,Other,high,2010-10-03,1053.92,1,Grades 3-5
MA,Books,low,2010-09-29,387.65,1,Grades PreK-2
CA,Books,low,2010-09-29,387.65,1,Grades PreK-2
DC,Books,high,2010-08-27,547.4,1,Grades 3-5
CA,Books,high,2010-08-27,547.4,1,Grades 3-5
MD,Books,high,2010-09-04,556.75,13,Grades 3-5
CA,Books,high,2010-09-04,556.75,1,Grades 3-5
IL,Technology,low,2010-09-13,24.0,1,Grades 6-8
CA,Supplies,high,2010-10-08,405.96,1,Grades 9-12
CA,Technology,high,2010-09-14,65.0,1,Grades 3-5
TX,Books,high,2010-10-31,283.47,1,Grades 3-5
CA,Technology,low,2010-09-25,131.0,1,Grades 9-12
CA,Other,high,2010-08-04,245.45,1,Grades PreK-2
CA,Books,high,2010-09-25,202.44,1,Grades 3-5
CA,Other,low,2010-09-28,330.26,1,Grades PreK-2
CA,Supplies,high,2010-10-08,237.21,1,Grades PreK-2
CA,Supplies,high,2010-10-08,237.21,1,Grades PreK-2
CA,Supplies,high,2010-10-08,237.21,1,Grades PreK-2
CA,Supplies,high,2010-10-08,237.21,1,Grades PreK-2
CA,Technology,high,2010-11-04,550.0,1,Grades 9-12
CA,Supplies,high,2010-09-30,1498.38,1,Grades 6-8
CA,Supplies,high,2010-09-30,1498.38,1,Grades 6-8
CA,Supplies,high,2010-09-30,1498.38,1,Grades 6-8
CA,Supplies,high,2010-09-30,1498.38,1,Grades 6-8
CA,Books,high,2010-09-21,1042.4,1,Grades 9-12
CA,Technology,low,2010-10-31,617.85,1,Grades 6-8
CA,Technology,low,2010-10-26,1167.99,1,Grades 6-8
CA,Technology,low,2010-10-26,1167.99,1,Grades 6-8
DE,Technology,low,2010-10-26,1167.99,1,Grades 6-8
CA,Technology,low,2010-10-26,1167.99,1,Grades 6-8
CA,Technology,low,2010-10-26,1167.99,1,Grades 6-8
CA,Technology,low,2010-10-26,1167.99,1,Grades 6-8
CA,Technology,low,2010-10-26,1167.99,1,Grades 6-8
CA,Technology,low,2010-10-26,1167.99,2,Grades 6-8
CA,Technology,low,2010-10-26,1167.99,1,Grades 6-8
CA,Technology,low,2010-10-26,1167.99,1,Grades 6-8
CA,Technology,low,2010-10-26,1167.99,1,Grades 6-8
CA,Technology,low,2010-10-26,1167.99,1,Grades 6-8
CA,Technology,low,2010-10-26,1167.99,1,Grades 6-8
CA,Technology,low,2010-10-26,1167.99,1,Grades 6-8
CA,Technology,low,2010-10-26,1167.99,2,Grades 6-8
CA,Technology,high,2010-11-03,246.36,1,Grades PreK-2
CA,Technology,high,2010-10-12,705.63,1,Grades 9-12
CA,Supplies,high,2010-11-03,387.22,1,Grades 3-5
CA,Supplies,high,2010-08-26,1093.32,2,Grades 3-5
CA,Supplies,high,2010-08-26,1093.32,1,Grades 3-5
CA,Supplies,high,2010-08-26,1093.32,1,Grades 3-5
OR,Technology,low,2010-10-21,190.8,1,Grades PreK-2
CA,Supplies,high,2010-09-16,166.99,1,Grades PreK-2
CA,Technology,low,2010-10-30,646.77,1,Grades PreK-2
CA,Technology,low,2010-10-30,646.77,1,Grades PreK-2
CA,Technology,low,2010-10-30,646.77,1,Grades PreK-2
CA,Technology,low,2010-10-24,324.06,1,Grades 3-5
CA,Supplies,high,2010-09-18,3.0,1,Grades 9-12
CA,Books,high,2010-08-22,456.73,1,Grades PreK-2
CA,Books,high,2010-08-22,456.73,1,Grades PreK-2
CA,Books,high,2010-09-27,914.18,1,Grades 9-12
CA,Technology,high,2010-09-10,597.37,1,Grades 3-5
CA,Other,high,2010-10-05,336.95,1,Grades 3-5
CA,Other,high,2010-10-05,336.95,1,Grades 3-5
CA,Supplies,high,2010-10-17,371.01,1,Grades PreK-2
CA,Supplies,high,2010-10-04,683.26,1,Grades PreK-2
CA,Supplies,high,2010-10-26,583.05,1,Grades 9-12
CA,Supplies,low,2010-10-22,225.76,1,Grades 6-8
CA,Supplies,low,2010-10-22,225.76,2,Grades 6-8
CA,Other,high,2010-10-27,392.13,1,Grades PreK-2
CA,Supplies,high,2010-06-21,686.68,1,Grades 3-5
CA,Supplies,high,2010-10-20,908.58,1,Grades 3-5
CA,Books,high,2010-10-25,541.32,1,Grades PreK-2
CA,Books,high,2010-10-25,541.32,1,Grades PreK-2
CA,Books,high,2010-10-23,343.13,1,Grades PreK-2
CA,Books,high,2010-10-23,343.13,1,Grades PreK-2
CA,Books,high,2010-10-23,343.13,1,Grades PreK-2
CA,Books,high,2010-10-23,343.13,1,Grades PreK-2
